(7, 0.02)	
(8, 0.02)	
(9, 0.01)	
(10, 2.43)	
(11, 2.21)
(12, 4.39)	
(1, 9.42)	
(2, 7.60)	
(3, 3.90)	
(4, 2.25)	
(5, 0.01)	
(6, 0.10)
